STATE/UT,YEAR,CRIME HEAD,Male 16-18 years,Female 16-18 years,Total 16-18 years,Male 18-30 years,Female 18-30 years,Total 18-30 years,Male 30-50 years,Female 30-50 years,Total 30-50 years,Male Above 50 years,Female Above 50 years,Total Above 50 years,Total Male,Total Female,Grand Total
NAGALAND,2001,RIOTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2001,ARSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2001,CRIMINAL BREACH OF TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2001,CHEATING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2001,COUNTER FEITING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2001,DOWRY DEATHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2001,MOLESTATION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2001,EVE-TEASING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2001,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2001,OTHER IPC CRIMES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2001,TOTAL IPC,0,0,0,17,0,17,16,0,16,2,0,2,35,0,35
NAGALAND,2002,MURDER,0,0,0,2,0,2,1,0,1,0,0,0,3,0,3
NAGALAND,2002,ATTEMPT TO COMMIT MURDER,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2
NAGALAND,2002,C.H. NOT AMOUNTING TO MURDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2002,RAPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2002,KIDNAPPING AND ABDUCTION,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
NAGALAND,2002,DACOITY,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2
NAGALAND,2002,PREP. AND ASSEMBLY FOR DACOITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2002,ROBBERY,0,0,0,2,0,2,1,0,1,0,0,0,3,0,3
NAGALAND,2002,BURGLARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2002,THEFTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2002,EXTORTION,0,0,0,1,0,1,0,0,0,3,0,3,4,0,4
NAGALAND,2002,RIOTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2002,ARSON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2002,CRIMINAL BREACH OF TRUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2002,CHEATING,0,0,0,4,0,4,1,1,2,0,0,0,5,1,6
NAGALAND,2002,COUNTER FEITING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2002,DOWRY DEATHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2002,MOLESTATION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2002,EVE-TEASING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2002,CRUELTY BY HUSBAND OR RELATIVE OF HUSBAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2002,OTHER IPC CRIMES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,2002,TOTAL IPC,0,0,0,13,0,13,4,1,5,3,0,3,20,1,21
NAGALAND,2003,MURDER,0,0,0,2,0,2,1,0,1,0,0,0,3,0,3
NAGALAND,2003,ATTEMPT TO COMMIT MURDER,0,0,0,1,0,1,1,0,1,1,0,1,3,0,3
NAGALAND,2003,C.H. NOT AMOUNTING TO MURDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
